,Model,Cl_0_sensibilite,Cl_0_Specificite,Cl_1_sensibilite,Cl_1_Specificite,Cl_2_sensibilite,Cl_2_Specificite,Cl_3_sensibilite,Cl_3_Specificite,scoreP,score_RetT_P
0,model_2D_pass_2__2022-04-22T21-23-42__.h5,0.9911391716025781,0.7916005841633739,0.8082934571414545,0.9892142909076829,0.0,1.0,0.0,1.0,0.0,0.0
1,model_2D_equil_pass_1__2022-04-23T00-29-53__.h5,0.9983942493051775,0.5813298445514923,0.6505013642418713,0.9974867314712054,0.0,1.0,0.0,1.0,0.0,0.0
2,reboucle_equil__2022-04-23T01-58-38__.h5,0.9999983819861462,2.297042277318341e-06,2.9653850601923743e-06,0.9999983862798083,0.0,1.0,0.0,1.0,0.0,0.0
3,Copie de reboucle_equil__2022-04-23T01-58-38__.h5,0.9999983819861462,2.297042277318341e-06,2.9653850601923743e-06,0.9999983862798083,0.0,1.0,0.0,1.0,0.0,0.0
4,model_2D_pass_2__2022-04-23T10-31-19__.h5,0.9996583972017435,0.005743116147135257,0.007121866452895352,0.9996566382070433,0.0,1.0,0.0,1.0,0.0,0.0
5,the_model_2D_debug__2022-04-25T21-12-33__.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
6,6-2__2022-04-26T21-28-27__.h5,0.9963557386591496,0.7288846940926709,0.7826145404691042,0.9949212349034335,0.0,1.0,0.0,1.0,0.0,0.0
7,6-3__2022-04-27T23-10-40__.h5,0.9156814654632894,0.9926532931163768,0.9968273674728231,0.913309121219821,0.0,1.0,0.0,1.0,0.0,0.0
8,dice_6_5_1a_RAM_model_2D__2022-05-06T21-32-14__.h5,0.9980724905278546,0.6239108829269014,0.678800692845745,0.9969225754932187,0.0,1.0,0.0,1.0,0.0,0.0
9,_dice_6_5_1a_RAM_model_2D__2022-05-07T06-56-42__.h5,0.9997325516504522,0.5360462083233583,0.590491855240445,0.9988073435808171,0.0,1.0,0.0,1.0,0.0,0.0
10,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.011190.h5,0.999109682604075,0.5985997740731307,0.6049741368999667,0.9992882051523381,0.4020012236278592,0.9993384945593963,0.0,0.9999998957665662,0.0,0.059065209051471154
11,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.011085.h5,0.9993098854542006,0.5085592899791276,0.5367834600046985,0.9990321375080725,0.1725721609569838,0.9996365254984436,0.0,1.0,0.0,0.00856961479924998
12,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.010646.h5,0.9995581797738253,0.5563176064206926,0.5815462769755313,0.9992160354984786,0.25399217296107496,0.9997561809317576,0.0,1.0,0.0,0.021795293388705977
13,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.010396.h5,0.9993987858243257,0.641104499599549,0.6677546334965283,0.9987809831459548,0.2515333078701097,0.9998134918179769,0.0,1.0,0.0,0.0281717666597343
14,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008964.h5,0.9996713322733907,0.5942011933389858,0.6139912138935539,0.9993783450980898,0.3267016727944804,0.9997448716153896,0.0,1.0,0.0,0.04020186021264554
15,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008377.h5,0.9996510573847084,0.5670705717746591,0.6217934714741489,0.9990832025866883,0.14302979081071732,0.9999337264507036,0.0,1.0,0.0,0.00790165742058775
16,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008232.h5,0.9996139756407623,0.5995213984801747,0.585876068650641,0.9994844148962361,0.42139816316508644,0.9995091941801291,0.0,1.0,0.0,0.06089191237455919
17,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.007994.h5,0.9997256909101446,0.4413863722096679,0.4768444612702589,0.9994702820730307,0.20476378990286437,0.9999387183136832,0.0007837713231904104,1.0,3.374910920868914e-05,0.00952802907397475
18,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_03_loss_0.005093.h5,0.9997508891407956,0.5262830129639962,0.5712679228696756,0.9992946059419251,0.1510460625071833,0.999862526720835,0.0,1.0,0.0,0.0074393044046128605
19,model_2D__2022-04-19T17-52-10__.h5,0.9850846933231908,0.7493337301261178,0.7837407278175195,0.9834534510615838,0.0,1.0,0.0,0.9999961850563241,0.0,0.0
20,model_2D__2022-04-20T04-52-18__.h5,0.9854777682455905,0.239208878221538,0.2812278934662353,0.9852686068060917,0.0,0.9999961754925377,0.0,1.0,0.0,0.0
21,model_2D__2022-04-20T06-31-45__.h5,0.999307252038729,0.5818058427567366,0.6624034314117968,0.9985002589389844,0.0,1.0,0.0,1.0,0.0,0.0
22,model_2D__2022-04-20T09-00-09__.h5,0.9924215545454074,0.09817328989030857,0.11801804206168066,0.9923621391252485,0.0,1.0,0.0,1.0,0.0,0.0
23,model_2D__2022-04-20T12-22-43__.h5,0.9980198945318911,0.6058742517384782,0.6642703060508023,0.9969499606554282,0.0,1.0,0.0,1.0,0.0,0.0
24,model_2D__2022-04-20T17-57-23__.h5,0.9940501864268331,0.6655049588038229,0.7464147670904202,0.9930378822017015,0.0,1.0,0.0,1.0,0.0,0.0
25,model_2D__2022-04-20T20-45-19__.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
26,model_2D__2022-04-20T21-23-32__.h5,0.9996453175031599,0.5941292193476297,0.6694936670907168,0.998756996712864,0.0,1.0,0.0,1.0,0.0,0.0
27,model_2D__2022-04-21T04-58-09__.h5,0.9997591660198578,0.4126202565438906,0.4905761710223231,0.9993758418785001,0.0,1.0,0.0,1.0,0.0,0.0
28,model_2D__2022-04-21T17-06-23__.h5,0.9996003837217778,0.5148166883694624,0.5719960896455673,0.9987567953734732,0.0,1.0,0.0,1.0,0.0,0.0
29,model_2D__2022-04-21T23-41-00__.h5,0.999704457868007,0.46484070522260634,0.5368984510475882,0.9991289096334572,0.0,1.0,0.0,1.0,0.0,0.0
30,6_3_2b_RAM_model_2D__2022-04-30T11-54-48__.h5,0.9997913063434682,0.536124307760787,0.5579530144621829,0.9993393573778543,0.2595043030139092,0.9999012644135155,0.0,1.0,0.0,0.02094857534010344
31,OK_6_3_2b_RAM_model_2D__2022-05-01T06-23-36__.h5,0.9998202106393709,0.509452328971165,0.4800246720037008,0.9995291392865755,0.40079036607834234,0.9997205989802072,0.1433379437528815,0.9999992554754731,0.014035931618603524,0.03698586386986843
32,test1_dice_6_5_1a_RAM_model_2D__2022-05-04T22-26-24__.h5,0.9993483140364944,0.7318734013223818,0.6499069692809172,0.9993577874447731,0.729794177435327,0.9991968474617829,0.0,1.0,0.0,0.22463386659852314
33,ok_dice_6_6_5e_RAM_model_2D_6epochs_2022-05-08T08-51-33__.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
34,6.6.7.h_juste_Miou_Cfred_2.5__model_2D___2022-05-11T22-55-08__.h5,0.9996774909704432,0.4214832665574636,0.45450852202243214,0.9995895441088702,0.22940352205142256,0.9998662138923541,0.0,1.0,0.0,0.010865452617748203
35,6_dice_recall_precision_2022-05-10T23-23-46__.h5,0.999988420805884,0.0,0.0,0.9999961505110512,0.0,1.0,0.0,0.9999923701126484,0.0,0.0
36,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_01_loss_0.288509.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
37,6.6.8i_KLD_Miou_Cfred_2.5__model_2D___2022-05-12T22-41-54__.h5_ep_01_loss_0.277024.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
