,Model,Cl_0_sensibilite,Cl_0_Specificite,Cl_1_sensibilite,Cl_1_Specificite,Cl_2_sensibilite,Cl_2_Specificite,Cl_3_sensibilite,Cl_3_Specificite
0,model_2D_pass_2__2022-04-22T21-23-42__.h5,0.9886871419206167,0.8117211431511643,0.8217833232674985,0.9866311650698064,0.0,1.0,0.0,0.9999961850530099
1,model_2D_equil_pass_1__2022-04-23T00-29-53__.h5,0.9982727860624615,0.5923520743057445,0.6583622705492124,0.9972944062619229,0.0,1.0,0.0,1.0
2,reboucle_equil__2022-04-23T01-58-38__.h5,0.999970259467728,1.454793442301616e-05,1.6803848674423456e-05,0.9999741711463762,0.0,1.0,0.0,0.9999961850530099
3,Copie de reboucle_equil__2022-04-23T01-58-38__.h5,0.999970259467728,1.454793442301616e-05,1.6803848674423456e-05,0.9999741711463762,0.0,1.0,0.0,0.9999961850530099
4,model_2D_pass_2__2022-04-23T10-31-19__.h5,0.9987156109214442,0.029343183731223594,0.035361887355565155,0.9986996299166925,0.0,1.0,0.0,0.9999961850530099
5,the_model_2D_debug__2022-04-25T21-12-33__.h5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
6,6-2__2022-04-26T21-28-27__.h5,0.9955581027719794,0.7515529281929271,0.796398968177794,0.9939631785994838,0.0,1.0,0.0,1.0
7,6-3__2022-04-27T23-10-40__.h5,0.9077208913899033,0.9946374271901405,0.9975298342448597,0.9053205723648378,0.0,1.0,0.0,1.0
8,dice_6_5_1a_RAM_model_2D__2022-05-06T21-32-14__.h5,0.9979870992057849,0.6572598531628485,0.695991359526909,0.9965827360606375,0.0,1.0,0.0,1.0
9,_dice_6_5_1a_RAM_model_2D__2022-05-07T06-56-42__.h5,0.999689617934456,0.5562905523672041,0.6088419874801443,0.9986800054704781,0.0,1.0,0.0,1.0
10,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.011190.h5,0.9989970648372983,0.640965656155231,0.6371172635163075,0.9991363598903769,0.42899185370333176,0.9992347543391983,0.0010603964960811433,0.9999997283661162
11,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.011085.h5,0.9992010797578467,0.534566147416006,0.5492413721297955,0.9988729512712452,0.2052838897899052,0.9995695616082033,0.0,1.0
12,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.010646.h5,0.9994726079466641,0.5808211773005261,0.594754761008086,0.9991029285817242,0.2817536653691258,0.9996790177143848,0.0,1.0
13,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_01_loss_0.010396.h5,0.99929807090838,0.6643291283847556,0.6792013493160999,0.9986553401336096,0.2833708509553933,0.9997404419128557,0.0,1.0
14,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008964.h5,0.9996033801638908,0.617221385361511,0.628402326311631,0.9992941473824907,0.3538327762769439,0.9996839437535529,0.0,1.0
15,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008377.h5,0.9996166592596311,0.5943910821672441,0.6368520262970347,0.9989775824952645,0.17627671171490167,0.9998970917738919,9.220839096357768e-05,0.9999999818910744
16,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.008232.h5,0.9995751544502681,0.623087265657023,0.6000226028239033,0.9994291518763609,0.441195626052825,0.9994197561578538,0.005486399262332872,1.0
17,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_02_loss_0.007994.h5,0.9996944403107609,0.463392547680217,0.489599900363062,0.9993934483595948,0.2296821469909087,0.9999023143436733,0.02070078377132319,1.0
18,pass_2_model_test1_dice__2022-05-24T12-15-18__.h5_ep_03_loss_0.005093.h5,0.9997255337959797,0.5515517541490964,0.5866777110785797,0.9992125428251455,0.17623027422498733,0.999818798614511,0.0044721069617335175,1.0
19,model_2D__2022-04-19T17-52-10__.h5,0.9834207954805043,0.759414683000509,0.791651057209197,0.9817246545091572,0.0,1.0,0.0,0.9999961850530099
20,model_2D__2022-04-20T04-52-18__.h5,0.9798437467006501,0.5571562820788335,0.599332986053794,0.9787969783177465,0.0,0.9999923507205057,0.0,1.0
21,model_2D__2022-04-20T06-31-45__.h5,0.9991677690179114,0.6007487847370219,0.6794487942250115,0.9982817050541252,0.0,1.0,0.0,1.0
22,model_2D__2022-04-20T09-00-09__.h5,0.9868991703173338,0.28991378945106305,0.31095258382237473,0.9863491188616035,0.0,1.0,0.0,1.0
23,model_2D__2022-04-20T12-22-43__.h5,0.9975670638160785,0.6290873953122982,0.6822715113150857,0.9963732086231809,0.0,1.0,0.0,1.0
24,model_2D__2022-04-20T17-57-23__.h5,0.9937865651185995,0.6817611270004048,0.7575221110642141,0.9926699084050674,0.0,1.0,0.0,1.0
